
12251,30-11-2018 18:59,Plain Naan,1,2.6,9
12249,30-11-2018 18:37,Plain Naan,2,2.6,8
12234,29-11-2018 22:27,Plain Naan,1,2.6,4
12221,28-11-2018 18:46,Plain Naan,1,2.6,4
12217,27-11-2018 20:22,Tandoori Roti,1,2.6,4
12205,25-11-2018 20:33,Plain Naan,1,2.6,3
12204,25-11-2018 20:24,Plain Naan,2,2.6,4
12171,24-11-2018 18:00,Tandoori Roti,2,2.6,5
12168,24-11-2018 16:42,Plain Naan,2,2.6,5
12155,23-11-2018 18:15,Tandoori Roti,1,2.6,5
12137,21-11-2018 19:58,Tandoori Roti,2,2.6,7
12134,21-11-2018 18:22,Plain Naan,1,2.6,7
12130,20-11-2018 20:41,Plain Naan,1,2.6,4
12116,19-11-2018 17:27,Plain Naan,1,2.6,7
12112,18-11-2018 19:58,Plain Naan,1,2.6,9
12102,18-11-2018 17:05,Plain Naan,1,2.6,8
12094,17-11-2018 19:32,Plain Naan,1,2.6,5
12063,16-11-2018 19:14,Plain Naan,1,2.6,3
12061,16-11-2018 18:52,Plain Naan,1,2.6,4
12058,16-11-2018 18:28,Tandoori Roti,1,2.6,4
12046,16-11-2018 12:12,Plain Naan,2,2.6,7
12044,15-11-2018 19:40,Tandoori Roti,1,2.6,5
12019,13-11-2018 18:47,Plain Naan,1,2.6,3
11995,11-11-2018 17:32,Plain Naan,1,2.6,10
11970,10-11-2018 18:30,Plain Naan,1,2.6,10
11967,10-11-2018 18:00,Plain Naan,1,2.6,8
11965,10-11-2018 17:54,Plain Naan,3,2.6,3
11954,09-11-2018 21:08,Plain Naan,1,2.6,3
11943,09-11-2018 17:50,Plain Naan,1,2.6,5
11937,08-11-2018 18:17,Plain Naan,1,2.6,6
11936,08-11-2018 18:02,Plain Naan,1,2.6,10
11929,08-11-2018 09:46,Plain Naan,2,2.6,18
11920,07-11-2018 18:08,Plain Naan,1,2.6,7
11913,07-11-2018 16:29,Plain Naan,1,2.6,6
11903,05-11-2018 20:55,Plain Naan,1,2.6,8
11882,04-11-2018 17:55,Plain Naan,1,2.6,4
11879,04-11-2018 17:04,Plain Naan,4,2.6,4
11876,04-11-2018 13:17,Plain Naan,1,2.6,5
11868,03-11-2018 18:40,Plain Naan,2,2.6,3
11852,02-11-2018 21:08,Plain Naan,1,2.6,10
11837,02-11-2018 18:46,Plain Naan,1,2.6,9
11828,02-11-2018 16:30,Plain Naan,1,2.6,4
11826,01-11-2018 21:00,Plain Naan,1,2.6,8
11822,01-11-2018 19:23,Plain Naan,2,2.6,3
11818,01-11-2018 18:06,Tandoori Roti,1,2.6,6
11763,27-10-2018 18:55,Plain Naan,1,2.6,3
11730,26-10-2018 18:43,Plain Naan,1,2.6,5
11725,26-10-2018 11:52,Plain Naan,1,2.6,16
11722,25-10-2018 19:00,Tandoori Roti,1,2.6,5
11715,24-10-2018 17:43,Plain Naan,1,2.6,8
11704,22-10-2018 19:20,Plain Naan,1,2.6,10
11683,20-10-2018 19:53,Plain Naan,2,2.6,13
11665,19-10-2018 21:02,Tandoori Roti,1,2.6,6
11660,19-10-2018 19:21,Tandoori Roti,1,2.6,7
11650,19-10-2018 18:31,Plain Naan,1,2.6,13
11649,19-10-2018 18:31,Plain Naan,1,2.6,8
11633,18-10-2018 19:32,Tandoori Roti,1,2.6,4
11611,16-10-2018 20:38,Plain Naan,1,2.6,15
11604,16-10-2018 17:39,Plain Naan,2,2.6,8
11603,15-10-2018 18:53,Plain Naan,4,2.6,2
11599,15-10-2018 18:03,Plain Naan,1,2.6,4
11585,14-10-2018 16:21,Plain Naan,1,2.6,11
11571,13-10-2018 18:51,Plain Naan,2,2.6,9
11557,12-10-2018 20:33,Tandoori Roti,2,2.6,3
11537,11-10-2018 21:05,Plain Naan,1,2.6,8
11531,11-10-2018 19:09,Plain Naan,2,2.6,4
11526,11-10-2018 17:52,Plain Naan,1,2.6,4
11522,10-10-2018 22:29,Tandoori Roti,2,2.6,4
11503,09-10-2018 12:10,Plain Naan,1,2.6,5
11499,08-10-2018 18:13,Plain Naan,1,2.6,8
11498,08-10-2018 17:23,Plain Naan,1,2.6,5
